id,code,name,parent_id:id,type,user_type:id,reconcile
0,0,FINEWINE,,view,account_type_view,FALSE
100000,100000,ASSETS,0,view,account_type_view,FALSE
110000,110000,Current Assets,100000,view,account_type_view,FALSE
111000,111000,Cash and Cash Equivalents,110000,view,account_type_view,FALSE
111100,111100,Petty Cash,111000,view,account_type_view,FALSE
111101,111101,Petty Cash Fund,111100,other,account_type_current_assets,FALSE
111102,111102,Cash (MMK),111100,other,account_type_current_assets,FALSE
111103,111103,Cash (USD),111100,other,account_type_current_assets,FALSE
111200,111200,Bank Accounts,111000,view,account_type_view,FALSE
111201,111201,APEX Bank,111200,other,account_type_current_assets,FALSE
111201-01,111201-01,APEX Saving,111201,other,account_type_current_assets,FALSE
111202,111202,MFTB Bank,111200,other,account_type_current_assets,FALSE
111202-01,111202-01,MFTB USD,111202,other,account_type_current_assets,FALSE
111203,111203,Myanma Citizen Bank,111200,other,account_type_current_assets,FALSE
111203-01,111203-01,Myanma Citizen Current,111203,other,account_type_current_assets,FALSE
111204,111204,KBZ Bank,111200,other,account_type_current_assets,FALSE
111204-01,111204-01,KBZ Current/Saving,111204,other,account_type_current_assets,FALSE
111204-02,111204-02,KBZ USD,111204,other,account_type_current_assets,FALSE
113000,113000,Trade Accounts Receivable - Customers,110000,view,account_type_view,FALSE
113100,113100,Trade Accounts Receivable - Customers,113000,receivable,account_type_receivable,FALSE
113200,113200,Allowance for Doubtful Accounts - Customer,113000,view,account_type_view,FALSE
114000,114000,Accounts Receivable,110000,view,account_type_view,FALSE
114100,114100,Accounts Receivable - Principal,114000,view,account_type_view,FALSE
114101,114101,Accounts Receivable - MOET HENNESSY,114100,receivable,account_type_receivable,FALSE
114102,114102,Accounts Receivable - CONSTELLATION BRANDS,114100,receivable,account_type_receivable,FALSE
114200,114200,Allowance for Doubtful Accounts - Principal,114000,view,account_type_view,FALSE
114201,114201,Allowance for Doubtful Accounts - MOET HENNESSY,114200,other,account_type_current_assets,FALSE
114202,114202,Allowance for Doubtful Accounts - CONSTELLATION BRANDS,114200,other,account_type_current_assets,FALSE
114300,114300,Other Accounts Receivable - Other Parties,114000,view,account_type_view,FALSE
114301,114301,Other Accounts Receivable - MDG,114300,receivable,account_type_receivable,FALSE
114302,114302,Other Accounts Receivable - MD,114300,receivable,account_type_receivable,FALSE
