id,code,name,parent_id:id,type,user_type:id,reconcile
0,0,MYANMAR DISTRIBUTION GROUP,,view,account_type_view,FALSE
100000,100000,ASSETS,0,view,account_type_view,FALSE
110000,110000,Current Assets,100000,view,account_type_view,FALSE
111000,111000,Cash and Cash Equivalents,110000,view,account_type_view,FALSE
111100,111100,Petty Cash,111000,view,account_type_view,FALSE
111101,111101,Petty Cash Fund,111100,other,account_type_current_assets,FALSE
111102,111102,Cash (MMK),111100,other,account_type_current_assets,FALSE
111103,111103,Cash (USD),111100,other,account_type_current_assets,FALSE
111200,111200,Bank Accounts,111000,view,account_type_view,FALSE
111201,111201,APEX Bank,111200,other,account_type_current_assets,FALSE
111201-01,111201-01,APEX Current (MGLZ),111201,other,account_type_current_assets,FALSE
111201-02,111201-02,APEX Current (TMW),111201,other,account_type_current_assets,FALSE
111201-03,111201-03,APEX Smart Saving (MGLZ),111201,other,account_type_current_assets,FALSE
111201-03,111201-03,APEX Smart Saving (TMW),111201,other,account_type_current_assets,FALSE
111201-04,111201-04,APEX USD (Thein Phyu),111201,other,account_type_current_assets,FALSE
111202,111202,AYWD Bank,111200,other,account_type_current_assets,FALSE
111202-01,111202-01,AYWD Current (MGLZ),111202,other,account_type_current_assets,FALSE
111202-02,111202-02,AYWD Saving (MGLZ),111202,other,account_type_current_assets,FALSE
111202-03,111202-03,AYWD USD (Bo Aung Kyaw),111202,other,account_type_current_assets,FALSE
111203,111203,CB Bank,111200,other,account_type_current_assets,FALSE
111203-01,111203-01,CB Current (MGLZ),111203,other,account_type_current_assets,FALSE
111203-02,111203-02,CB Saving (MGLZ),111203,other,account_type_current_assets,FALSE
111203-03,111203-03,CB USD (IBS),111203,other,account_type_current_assets,FALSE
111204,111204,KBZ Bank,111200,other,account_type_current_assets,FALSE
111204-01,111204-01,KBZ Current (TMW),111204,other,account_type_current_assets,FALSE
111204-02,111204-02,KBZ Current (MGLZ),111204,other,account_type_current_assets,FALSE
