"id","country_id:id","code","name"
"state_mm_1","base.mm","1","Kachin State"
"state_mm_2","base.mm","2","Kayah State"
"state_mm_3","base.mm","3","Kayin State"
"state_mm_4","base.mm","4","Chin State"
"state_mm_5","base.mm","5","Sagaing Division"
"state_mm_6","base.mm","6","Sagaing"
"state_mm_7","base.mm","7","Bago East Division"
"state_mm_8","base.mm","8","Bago West Division"
"state_mm_9","base.mm","9","Magway Division"
"state_mm_10","base.mm","10","Mandalay Division"
"state_mm_11","base.mm","11","Mon State"
"state_mm_12","base.mm","12","Rakhine State"
"state_mm_13","base.mm","13","Yangon Division"
"state_mm_14","base.mm","14","Shan State (South)"
"state_mm_15","base.mm","15","Shan State (North)"
"state_mm_16","base.mm","16","Shan State (East)"
"state_mm_17","base.mm","17","Ayeyarwady Division"
